"NumberFledged","TerritoryQuality","TempYearAv"
6,0.45,10.722897
7,0.65,10.722897
5,0.55,10.722897
6,0.3,10.722897
4,0.675,10.722897
0,0.5,10.722897
7,0.5,10.722897
1,0.625,10.722897
6,0.675,10.722897
6,0.575,10.722897
3,0.825,10.722897
1,0.7,10.722897
1,0.775,10.722897
5,0.5,10.722897
7,0.6,10.722897
6,0.55,10.722897
6,0.6,10.722897
5,0.175,10.722897
6,0.625,10.722897
3,0.65,10.722897
4,0.525,10.722897
6,0.625,10.722897
6,0.7,10.722897
7,0.825,10.722897
6,0.85,10.722897
4,0.775,10.722897
6,0.625,10.722897
6,0.7,10.722897
6,0.75,10.722897
6,0.5,10.722897
6,0.65,10.722897
7,0.6,10.722897
7,0.425,10.722897
5,0.375,10.722897
0,0.375,10.722897
2,0.444444444,10.722897
0,0.444444444,10.722897
6,0.777777778,10.722897
7,0.777777778,10.722897
2,0.666666667,10.722897
5,0.666666667,10.722897
6,0.666666667,10.722897
6,0.555555556,10.722897
6,0.666666667,10.722897
7,0.444444444,10.722897
0,0.555555556,10.722897
6,0.777777778,10.722897
6,0.888888889,10.722897
0,0.5,10.722897
4,0.5,10.722897
6,0.25,10.722897
3,0.75,10.722897
5,0.4,10.722897
5,0.794117647,10.722897
7,0.852941176,10.722897
6,0.470588235,10.722897
6,0.794117647,10.722897
7,0.764705882,10.722897
3,0.735294118,10.722897
6,0.647058824,10.722897
7,0.705882353,10.722897
5,0.8,10.722897
3,0.6,10.722897
7,0.75,10.722897
6,0.625,10.722897
5,0.625,10.722897
0,0.588235294,10.722897
4,0.818181818,10.722897
6,0.75,10.722897
5,0.5,10.722897
5,0.696969697,10.722897
1,0.757575758,10.722897
6,0.878787879,10.722897
7,0.666666667,10.722897
5,0.545454545,10.722897
5,0.606060606,10.722897
6,0.878787879,10.722897
